,age,monthlyincome,distancefromhome,education,jobinvolvement,jobsatisfaction,worklifebalance,totalworkingyears,yearsatcompany,numcompaniesworked
age,1.0,0.49807813146365926,-0.001440572526699208,0.20732805364506682,0.030303350009465276,-0.005404334433244181,-0.021722071206572498,0.68030030239464,0.3115354210380114,0.30023019827260705
monthlyincome,0.49807813146365926,1.0,-0.017885329368097835,0.09428531662277498,-0.016239876279442973,-0.008711840323683152,0.030466622665327795,0.7719287913262945,0.5143434936124543,0.1498534617078356
distancefromhome,-0.001440572526699208,-0.017885329368097835,1.0,0.020427197672280826,0.011455377491421668,-0.0019937338480153937,-0.026341258735817056,0.005834489575536293,0.009289596060507875,-0.02835637479799893
education,0.20732805364506682,0.09428531662277498,0.020427197672280826,1.0,0.04246076401305001,-0.009961193887149672,0.009190716648494248,0.14787899608419272,0.06917581771727697,0.1250164679027715
jobinvolvement,0.030303350009465276,-0.016239876279442973,0.011455377491421668,0.04246076401305001,1.0,-0.019093129375843725,-0.014649772350077249,-0.0038631253591600795,-0.02136901247723847,0.015997503826592856
jobsatisfaction,-0.005404334433244181,-0.008711840323683152,-0.0019937338480153937,-0.009961193887149672,-0.019093129375843725,1.0,-0.01946963368618924,-0.019396921160491985,-0.004134874153410916,-0.055921936294978
worklifebalance,-0.021722071206572498,0.030466622665327795,-0.026341258735817056,0.009190716648494248,-0.014649772350077249,-0.01946963368618924,1.0,0.0009233657702464686,0.011898085262159132,-0.008367158343671815
totalworkingyears,0.68030030239464,0.7719287913262945,0.005834489575536293,0.14787899608419272,-0.0038631253591600795,-0.019396921160491985,0.0009233657702464686,1.0,0.6278915933748643,0.23814624969728693
yearsatcompany,0.3115354210380114,0.5143434936124543,0.009289596060507875,0.06917581771727697,-0.02136901247723847,-0.004134874153410916,0.011898085262159132,0.6278915933748643,1.0,-0.11809549105100293
numcompaniesworked,0.30023019827260705,0.1498534617078356,-0.02835637479799893,0.1250164679027715,0.015997503826592856,-0.055921936294978,-0.008367158343671815,0.23814624969728693,-0.11809549105100293,1.0
